Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T00:00+01:00;2014-01-18T01:00+01:00;2014-01-18;00:00;01:00;1;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T00:00+01:00;2014-01-18T01:00+01:00;2014-01-18;00:00;01:00;2;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T00:00+01:00;2014-01-18T01:00+01:00;2014-01-18;00:00;01:00;Totalt i retning B�RUMSVEIEN;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T00:00+01:00;2014-01-18T01:00+01:00;2014-01-18;00:00;01:00;Totalt i retning E18;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T00:00+01:00;2014-01-18T01:00+01:00;2014-01-18;00:00;01:00;Totalt;76;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T01:00+01:00;2014-01-18T02:00+01:00;2014-01-18;01:00;02:00;1;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T01:00+01:00;2014-01-18T02:00+01:00;2014-01-18;01:00;02:00;2;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T01:00+01:00;2014-01-18T02:00+01:00;2014-01-18;01:00;02:00;Totalt i retning B�RUMSVEIEN;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T01:00+01:00;2014-01-18T02:00+01:00;2014-01-18;01:00;02:00;Totalt i retning E18;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T01:00+01:00;2014-01-18T02:00+01:00;2014-01-18;01:00;02:00;Totalt;49;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T02:00+01:00;2014-01-18T03:00+01:00;2014-01-18;02:00;03:00;1;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-
