Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T00:00+01:00;2014-01-17T01:00+01:00;2014-01-17;00:00;01:00;1;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T00:00+01:00;2014-01-17T01:00+01:00;2014-01-17;00:00;01:00;2;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T00:00+01:00;2014-01-17T01:00+01:00;2014-01-17;00:00;01:00;Totalt i retning B�RUMSVEIEN;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T00:00+01:00;2014-01-17T01:00+01:00;2014-01-17;00:00;01:00;Totalt i retning E18;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T00:00+01:00;2014-01-17T01:00+01:00;2014-01-17;00:00;01:00;Totalt;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T01:00+01:00;2014-01-17T02:00+01:00;2014-01-17;01:00;02:00;1;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T01:00+01:00;2014-01-17T02:00+01:00;2014-01-17;01:00;02:00;2;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T01:00+01:00;2014-01-17T02:00+01:00;2014-01-17;01:00;02:00;Totalt i retning B�RUMSVEIEN;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T01:00+01:00;2014-01-17T02:00+01:00;2014-01-17;01:00;02:00;Totalt i retning E18;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T01:00+01:00;2014-01-17T02:00+01:00;2014-01-17;01:00;02:00;Totalt;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T02:00+01:00;2014-01-17T03:00+01:00;2014-01-17;02:00;03:00;1;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T02:00+01:00;2014-01-17T03:00+01:00;2014-01-17;02:00;03:00;2;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T02:00+01:00;2014-01-17T03:00+01:00;2014-01-17;02:00;03:00;Totalt i retning B�RUMSVEIEN;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T02:00+01:00;2014-01-17T03:00+01:00;2014-01-17;02:00;03:00;Totalt i retning E18;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T02:00+01:00;2014-01-17T03:00+01:00;2014-01-17;02:00;03:00;Totalt;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T03:00+01:00;2014-01-17T04:00+01:00;2014-01-17;03:00;04:00;1;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T03:00+01:00;2014-01-17T04:00+01:00;2014-01-17;03:00;04:00;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T03:00+01:00;2014-01-17T04:00+01:00;2014-01-17;03:00;04:00;Totalt i retning B�RUMSVEIEN;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T03:00+01:00;2014-01-17T04:00+01:00;2014-01-17;03:00;04:00;Totalt i retning E18;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T03:00+01:00;2014-01-17T04:00+01:00;2014-01-17;03:00;04:00;Totalt;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-17T04:00+01:00;2014-01-17T05:00+01:00;2014-01-17;04:00;05:00;1;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-
